epoch,accuracy,loss,val_accuracy,val_loss
0,0.36617767810821533,1.3281373977661133,0.4265129566192627,1.2845882177352905
1,0.6302241683006287,1.0036603212356567,0.6167147159576416,0.9498196244239807
2,0.7996125221252441,0.5805376768112183,0.6858789920806885,0.7857895493507385
3,0.8613340854644775,0.39486223459243774,0.6829971075057983,0.7966717481613159
4,0.8928868174552917,0.30137166380882263,0.6714697480201721,0.833660364151001
5,0.9191807508468628,0.2399306297302246,0.6657060384750366,0.8736391067504883
6,0.9393855333328247,0.19528262317180634,0.6628242135047913,0.9762077927589417
7,0.94768887758255,0.16602659225463867,0.6887608170509338,0.9881610870361328
8,0.9582064747810364,0.14626991748809814,0.6829971075057983,1.0634801387786865
9,0.9634652733802795,0.12145166844129562,0.6685879230499268,1.1254581212997437
10,0.9687240719795227,0.1094295084476471,0.6628242135047913,1.1754934787750244
11,0.9692776203155518,0.10528002679347992,0.6628242135047913,1.2197613716125488
12,0.972875714302063,0.09373729676008224,0.6685879230499268,1.2847166061401367
13,0.9731525182723999,0.08405879139900208,0.6599423885345459,1.303552269935608
14,0.9753667116165161,0.08846485614776611,0.6628242135047913,1.339475393295288
15,0.973429262638092,0.07981192320585251,0.6599423885345459,1.4544905424118042
16,0.9745364189147949,0.08059182018041611,0.6599423885345459,1.4242863655090332
17,0.9759202599525452,0.0707881897687912,0.6541786789894104,1.4877039194107056
18,0.975089967250824,0.07548785954713821,0.6714697480201721,1.4617390632629395
19,0.975643515586853,0.07257478684186935,0.6570605039596558,1.524012804031372
20,0.9761970639228821,0.06918260455131531,0.6570605039596558,1.5919861793518066
21,0.9781345129013062,0.06611630320549011,0.639769434928894,1.5470213890075684
22,0.9778577089309692,0.06426329165697098,0.6599423885345459,1.5515203475952148
23,0.9781345129013062,0.06027202680706978,0.6484149694442749,1.6124427318572998
24,0.9784113168716431,0.06135524436831474,0.651296854019165,1.6101622581481934
